ticker,official_name,name,description,sector,industry,website,shortname,stock_type
BISVP,БашИнСв ап,Башинформсвязь(ПАО) - прив.,Unknown,Связь,Ведущие телекоммуникационные компании,http://www.rostelecom-rb.ru/,БашИнСв ап,Привилегированная
BLNG,Белон ао,Белон ОАО - обыкн.,Unknown,Энергетические и минеральные ресурсы,Уголь,http://www.belon.ru/,Белон ао,Обыкновенная
BSPB,БСП ао,"ПАО ""Банк ""Санкт-Петербург"" - обыкн.",Unknown,Финансы,Региональные банки,http://www.bspb.ru/,БСП ао,Обыкновенная
BSPBP,БСП ап,Банк Санкт-Петербург - прив.,Unknown,Финансы,Региональные банки,http://www.bspb.ru/,БСП ап,Привилегированная
CARM,СТГ,СТГ - обыкн.,Unknown,Транспорт,Транспортные услуги,Unknown,СТГ,Обыкновенная
CBOM,МКБ ао,"""МКБ"" ПАО - обыкн.",Unknown,Финансы,Региональные банки,http://www.mkb.ru/,МКБ ао,Обыкновенная
CHGZ,РН-ЗапСиб,РН-Западная Сибирь ПАО - обыкн.,Unknown,Энергетические и минеральные ресурсы,Нефтегазовое производство,Unknown,РН-ЗапСиб,Обыкновенная
CNTL,Телеграф,"""Центральный Телеграф"" ПАО - обыкн.",Unknown,Связь,Специализированные телекоммуникации,http://www.cnt.ru/,Телеграф,Обыкновенная
CNTLP,Телеграф-п,"""Центральный Телеграф"" ПАО - прив.",Unknown,Связь,Специализированные телекоммуникации,http://www.cnt.ru/,Телеграф-п,Привилегированная
DIOD,ЗаводДИОД,Завод ДИОД ПАО - обыкн.,Unknown,Медицинские технологии,Фармацевтические товары: прочие лекарственные средства,http://www.diod.ru/,ЗаводДИОД,Обыкновенная
DVEC,ДЭК ао,"""ДЭК"" ПАО - обыкн.",Unknown,Коммунальные услуги,Электроэнергетика,http://www.dvec.ru/,ДЭК ао,Обыкновенная
EELT,ЕвроЭлтех,"""ЕвропЭлектротехника"" ПАО - обыкн.",Unknown,Электронные технологии,Электронные комплектующие,http://www.euroetpao.ru/,ЕвроЭлтех,Обыкновенная
ELFV,ЭЛ5Энер ао,"""ЭЛ5-Энерго"" ПАО",Unknown,Коммунальные услуги,Электроэнергетика,http://www.enel.ru/,ЭЛ5Энер ао,Обыкновенная
ELMT,Элемент,Элемент,Unknown,Электронные технологии,Производство электроники,Unknown,Элемент,Обыкновенная
FEES,Россети,"""ФСК - Россети"" ПАО",Unknown,Коммунальные услуги,Электроэнергетика,http://www.fsk-ees.ru/,Россети,Обыкновенная
FESH,ДВМП ао,ДВ морское пароходство ПАО - обыкн.,Unknown,Транспорт,Морские перевозки,http://www.fesco.ru/,ДВМП ао,Обыкновенная
FLOT,Совкомфлот,Совкомфлот - обыкн.,Unknown,Транспорт,Морские перевозки,http://www.sovcomflot.ru/,Совкомфлот,Обыкновенная
GAZA,ГАЗ ао,ГАЗ ПАО - обыкн.,Unknown,Промышленное производство,"Грузовые автомобили, строительная и сельскохозяйственная техника",Unknown,ГАЗ ао,Обыкновенная
GAZAP,ГАЗ ап,ГАЗ ПАО - прив.,Unknown,Промышленное производство,"Грузовые автомобили, строительная и сельскохозяйственная техника",Unknown,ГАЗ ап,Привилегированная
GAZC,ГАЗКОН-ао,ГАЗКОН (ПАО) - обыкн.,Unknown,Финансы,Финансовые конгломераты,http://www.gazcon.ru/,ГАЗКОН-ао,Обыкновенная
GAZP,ГАЗПРОМ ао,"""Газпром"" (ПАО) - обыкн.","ПАО «Газпром» — транснациональная энергетическая компания. Газпром специализируется на геологоразведке, добыче, транспортировке, хранении, переработке и сбыте газа, газового конденсата и нефти, продаже газа в качестве автомобильного топлива, а также производстве и сбыте тепловой и электрической энергии. Компания осуществляет свою деятельность посредством следующих сегментов: Добыча газа, Транспортировка, Сбыт газа, Хранение газа, Добыча нефти и газового конденсата, Нефтепереработка, а также Производство и продажа электрической и тепловой энергии. Газодобывающий сегмент занимается изучением и добычей газа, в то время как сегмент транспортировки осуществляет его перевозки. В сегмент сбыта газа входит продажа газа как в пределах Российской Федерации, так и за её заграницами. Сегмент газохранения отвечает за хранение добытого и приобретенного газа в подземных хранилищах. Сегмент добычи сырой нефти и газового конденсата занимается изучением, добычей и продажей нефти и газового конденсата. Нефтеперерабатывающий сегмент осуществляет очистку нефти, газового конденсата и других углеводородов, а также занимается продажей продуктов нефтепереработки. Компания была основана в 1989 году. Штаб-квартира расположена в Москве, Россия.",Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.gazprom.ru/,ГАЗПРОМ ао,Обыкновенная
GAZS,ГАЗ-сервис,ГАЗ-сервис (ПАО) - обыкн.,Unknown,Финансы,"Инвестиционные банки, брокеры",http://www.gaz-services.ru/,ГАЗ-сервис,Обыкновенная
GAZT,ГАЗ-Тек ао,ГАЗ-Тек ПАО - обыкн.,Unknown,Финансы,"Инвестиционные банки, брокеры",Unknown,ГАЗ-Тек ао,Обыкновенная
GECO,iГЕНЕТИКО,ЦГРМ ГЕНЕТИКО - обыкн.,Unknown,Медицинские технологии,Генетические исследования,Unknown,iГЕНЕТИКО,Обыкновенная
GEMA,iММЦБ ао,ПАО ММЦБ - обыкн.,Unknown,Медицинские технологии,Биотехнологии,Unknown,iММЦБ ао,Обыкновенная
