ticker,official_name,name,description,sector,industry,website,shortname,stock_type
RGSS,РГС СК ао,Росгосстрах СК ПАО - обыкн.,Unknown,Финансы,Смешанное страхование,http://www.rgs.ru/,РГС СК ао,Обыкновенная
ROLO,Русолово,"""Русолово"" ПАО - обыкн.",Unknown,Несырьевые полезные ископаемые,Прочие металлы и минералы,http://www.rus-olovo.ru/,Русолово,Обыкновенная
ROST,РОСИНТЕРао,РОСИНТЕР РЕСТОРАНТС (ПАО),Unknown,Услуги,Рестораны,http://www.rosinter.com/,РОСИНТЕРао,Обыкновенная
RTKM,Ростел -ао,Ростелеком (ПАО) ао.,"ПАО «Ростелеком» — провайдер цифровых услуг и решений как для домашнего пользования, так и для государственных и частных организаций. Компания предоставляет телекоммуникационные услуги российским государственным и корпоративным клиентам всех уровней. Помимо этого, Ростелеком предлагает высокотехнологичные решения для электронных систем оказания госуслуг, поддержания кибербезопасности, предоставляет центры обработки данных и облачные сервисы, биометрические системы, а также целый ряд услуг в сферах здравоохранения, образования и жилищно-коммунальных хозяйств. Компания была основана 23 сентября 1993 года. Штаб-квартира расположена в Москве, Россия.",Связь,Ведущие телекоммуникационные компании,http://www.company.rt.ru/,Ростел -ао,Обыкновенная
RTKMP,Ростел -ап,Ростелеком (ПАО) - прив.,Unknown,Связь,Ведущие телекоммуникационные компании,http://www.company.rt.ru/,Ростел -ап,Привилегированная
RTSB,ТНСэнРст,ТНС энерго Ростов. ПАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.rostov.tns-e.ru/,ТНСэнРст,Обыкновенная
RTSBP,ТНСэнРст-п,ТНС энерго Ростов. ПАО - прив.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.rostov.tns-e.ru/,ТНСэнРст-п,Привилегированная
RUAL,РУСАЛ ао,РУСАЛ ОК МКПАО - обыкн.,"Объединенная компания RUSAL Plc — это расположенная на Кипре компания, занимающаяся преимущественно алюминиевым бизнесом. Компания работает через четыре сегмента. Алюминиевый сегмент занимается производством и продажей первичного алюминия и сопутствующих товаров. Сегмент оксида алюминия занимается добычей бокситов, переработкой бокситов в оксид алюминия и его продажей. Энергетический сегмент специализируется на добыче и реализации угля, а также производством и передачей электроэнергии. Горно-металлургический сегмент занимается инвестициями в ПАО «ГМК «Норильский никель». Компания также производит полуфабрикаты из первичного алюминия для таких отраслей как транспортная, упаковочная и потребительских товаров.",Несырьевые полезные ископаемые,Алюминий,http://www.rusal.ru/,РУСАЛ ао,Обыкновенная
RUSI,ИКРУСС-ИНВ,РУСС-ИНВЕСТ ИК ПАО - обыкн.,Unknown,Финансы,Инвестиционные компании и паевые фонды,http://www.russ-invest.ru/,ИКРУСС-ИНВ,Обыкновенная
RZSB,РязЭнСб,"""Рязанская энергосб.комп"" ПАО",Unknown,Коммунальные услуги,Электроэнергетика,http://www.resk.ru/,РязЭнСб,Обыкновенная
SAGO,СамарЭн-ао,Самараэнерго (ПАО) - - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.samaraenergo.ru/,СамарЭн-ао,Обыкновенная
SAGOP,СамарЭн-ап,Самараэнерго (ПАО) - - прив.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.samaraenergo.ru/,СамарЭн-ап,Привилегированная
SARE,СаратЭн-ао,Саратовэнерго(ПАО) - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.saratovenergo.ru/,СаратЭн-ао,Обыкновенная
SAREP,СаратЭн-ап,Саратовэнерго(ПАО) - прив.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.saratovenergo.ru/,СаратЭн-ап,Привилегированная
SBER,Сбербанк,Сбербанк России ПАО - обыкн.,"ПАО «СберБанк России» занимается оказанием банковских и финансовых услуг. Компания ведет корпоративную и розничную банковскую деятельность, предлагая такие услуги, как: корпоративные займы, управление активами, зарплатные проекты, лизинг, онлайн-банкинг и, среди прочего, расчетно-кассовое обслуживание. Кроме того, СберБанк оказывает широкий спектр услуг для финансовых учреждений, в том числе корреспондентские счета, депозитарные услуги, межбанковское кредитование и др. Компания осуществляет свою деятельность посредством следующих географических сегментов: Москва, Центральный и Северо-Западный регионы России, Приволжский и Юго-Западный регионы, Уральский, Сибирский и Дальневосточный регионы и Зарубежье. Компания была основана в 1841 году. Штаб-квартира расположена в Москве, Россия.",Финансы,Региональные банки,http://www.sberbank.ru/,Сбербанк,Обыкновенная
SBERP,Сбербанк-п,Сбербанк России ПАО - прив.,Unknown,Финансы,Региональные банки,http://www.sberbank.ru/,Сбербанк-п,Привилегированная
SELG,Селигдар,"ПАО ""Селигдар"" - обыкн.",Unknown,Несырьевые полезные ископаемые,Драгоценные металлы,http://www.seligdar.ru/,Селигдар,Обыкновенная
SGZH,Сегежа,Сегежа - обыкн.,Unknown,Обрабатывающая промышленность,Контейнеры и тара,http://www.segezha-group.com/,Сегежа,Обыкновенная
SLEN,Сахэнер ао,"ПАО ""Сахалинэнерго"" - обыкн.",Unknown,Коммунальные услуги,Электроэнергетика,http://www.sahen.elektra.ru/,Сахэнер ао,Обыкновенная
SNGS,Сургнфгз,Сургутнефтегаз ПАО акции об.,"ОАО Сургутнефтегаз — это нефтяная компания, которая занимается разведкой, добычей, обработкой и продажей нефти и газа, а также продажей продуктов из нефти и газа. Помимо этого, бизнес и финансовая активность компании состоит в банковской и страховой деятельности, предоставлении других товаров, работ и услуг. Подразделения компании включают сегмент разведки и добычи, который занимается разведкой, оценкой и добычей нефти и газа, а также продажей нефти; сегмент переработки и продажи, который занимается переработкой нефти и газа и продажей переработанных продуктов и управляет дочерними организациями компании, которые занимаются переработкой и продажей переработанных продуктов; и другая активность, которая включает в себя незначительные сегменты с несравнимо меньшим экономическим значением и представляет собой дочерние предприятия компании, занятые в банковском секторе, страховании, производстве других товаров, работе и услугах.",Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.surgutneftegas.ru/,Сургнфгз,Обыкновенная
SNGSP,Сургнфгз-п,Сургутнефтегаз ПАО - прив.,"Сургутнефтегаз ПАО, раньше ОАО Сургутнефтегаз (Surgutneftegaz OJSC) — это нефтяная компания, которая занимается разведкой, добычей, обработкой и продажей нефти и газа, а также продажей продуктов из нефти и газа. Помимо этого, бизнес и финансовая активность компании состоит в банковской и страховой деятельности, предоставлении других товаров, работ и услуг. Подразделения компании включают сегмент разведки и добычи, который занимается разведкой, оценкой и добычей нефти и газа, а также продажей нефти; сегмент переработки и продажи, который занимается переработкой нефти и газа и продажей переработанных продуктов и управляет дочерними организациями компании, которые занимаются переработкой и продажей переработанных продуктов; и другая активность, которая включает в себя сегменты с несравнимо меньшим экономическим значением и представляет собой дочерние предприятия компании, занятые в банковском секторе, страховании, производстве других товаров, работе и услугах.",Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.surgutneftegas.ru/,Сургнфгз-п,Привилегированная
SOFL,iСофтлайн,Софтлайн - обыкн.,Unknown,Технологии,Программное обеспечение,Unknown,iСофтлайн,Обыкновенная
STSB,СтаврЭнСб,Ставрополэнергосбыт ПАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.staves.ru/,СтаврЭнСб,Обыкновенная
STSBP,СтаврЭнСбп,Ставрополэнергосбыт ПАО - прив.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.staves.ru/,СтаврЭнСбп,Привилегированная
SVCB,Совкомбанк,Совкомбанк - обыкн.,Unknown,Финансы,Банковские услуги,Unknown,Совкомбанк,Обыкновенная
TASB,ТамбЭнСб,"""Тамбов.энергсбыт.комп.""ПАО - обыкн.",Unknown,Коммунальные услуги,Электроэнергетика,http://www.tesk.tmb.ru/,ТамбЭнСб,Обыкновенная
TASBP,ТамбЭнСб-п,"ап""Тамбов.энергсбыт.комп.""ПАО",Unknown,Коммунальные услуги,Электроэнергетика,http://www.tesk.tmb.ru/,ТамбЭнСб-п,Привилегированная
TGKA,ТГК-1,"ПАО ""ТГК-1"" - обыкн.",Unknown,Коммунальные услуги,Электроэнергетика,http://www.tgc1.ru/,ТГК-1,Обыкновенная
TGKB,ТГК-2,"ПАО ""ТГК-2"" - обыкн.",Unknown,Коммунальные услуги,Электроэнергетика,http://www.tgc-2.ru/,ТГК-2,Обыкновенная
TGKBP,ТГК-2 ап,"ап ПАО ""ТГК-2""",Unknown,Коммунальные услуги,Электроэнергетика,http://www.tgc-2.ru/,ТГК-2 ап,Привилегированная
TGKN,ТГК-14,"ПАО ""ТГК-14"" - обыкн.",Unknown,Коммунальные услуги,Электроэнергетика,http://www.tgk-14.com/,ТГК-14,Обыкновенная
TORS,РСТомск ао,"ПАО ""Россети Томск"" - обыкн.",Unknown,Коммунальные услуги,Электроэнергетика,http://www.trk.tom.ru/,РСТомск ао,Обыкновенная
TORSP,РСТомск ап,"ап ПАО ""Россети Томск""",Unknown,Коммунальные услуги,Электроэнергетика,http://www.trk.tom.ru/,РСТомск ап,Привилегированная
TRMK,ТМК ао,ПАО ТМК,Unknown,Несырьевые полезные ископаемые,Сталь,http://www.tmk-group.ru/,ТМК ао,Обыкновенная
TTLK,Таттел. ао,"""Таттелеком"" ПАО - обыкн.",Unknown,Связь,Ведущие телекоммуникационные компании,http://www.tattelecom.ru/,Таттел. ао,Обыкновенная
TUZA,ТЗА ао,Туймаз. завод автобетоновозов,Unknown,Транспорт,Грузоперевозки,http://www.tzacom.ru/,ТЗА ао,Обыкновенная
UGLD,ЮГК,ЮГК,Unknown,Несырьевые полезные ископаемые,Добыча золота,Unknown,ЮГК,Обыкновенная
UNAC,iАвиастКао,Об.авиастр.корп. ПАО - обыкн.,Unknown,Электронные технологии,Авиакосмическая и оборонная промышленность,http://www.uacrussia.ru/,iАвиастКао,Обыкновенная
UPRO,Юнипро ао,Юнипро ПАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.unipro.energy/,Юнипро ао,Обыкновенная
USBN,УралСиб ао,БАНК УРАЛСИБ ПАО - обыкн.,Unknown,Финансы,Региональные банки,http://www.uralsib.ru/,УралСиб ао,Обыкновенная
UTAR,ЮТэйр ао,"Авиакомпания ""ЮТэйр"" (ПАО) - обыкн.","ПАО «ЮТэйр» осуществляет пассажирские и грузовые авиаперевозки, а также предоставляет вертолетные услуги. В другие сферы деятельности компании входят строительство наземных сооружений, обучение авиационного персонала, а также ремонт и техническое обслуживание самолетов. Компания была основана 7 февраля 1967 года. Штаб-квартира расположена в Ханты-Мансийске, Россия.",Транспорт,Авиакомпании,http://www.utair.ru/,ЮТэйр ао,Обыкновенная
VEON-RX,VEON,VEON Ltd. ORD SHS,Unknown,Связь,Беспроводные телекоммуникации,http://www.veon.com/,VEON,Обыкновенная
VGSB,ВолгЭнСб,"""Волгоград.энергосбыткомп"" ПАО",Unknown,Коммунальные услуги,Электроэнергетика,http://www.energosale34.ru/,ВолгЭнСб,Обыкновенная
VGSBP,ВолгЭнСб-п,"""Волгоград.энергосбыткомп"" ПАО",Unknown,Коммунальные услуги,Электроэнергетика,http://www.energosale34.ru/,ВолгЭнСб-п,Привилегированная
VLHZ,ВХЗ-ао,Владимирский химич.з-д(ПАО) - обыкн.,Unknown,Обрабатывающая промышленность,Химическая промышленность: специализированные химикаты,http://www.vhz-jsc.ru/,ВХЗ-ао,Обыкновенная
VRSB,ТНСэнВорон,ТНС энерго Воронеж ПАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.voronezh.tns-e.ru/,ТНСэнВорон,Обыкновенная
VRSBP,ТНСэнВор-п,ТНС энерго Воронеж ПАО - прив.,Unknown,Коммунальные услуги,Электроэнергетика,http://www.voronezh.tns-e.ru/,ТНСэнВор-п,Привилегированная
WTCM,ЦМТ ао,"""Центр междун. торговли""ПАО - обыкн.",Unknown,Финансы,Девелопмент недвижимости,http://www.wtcmoscow.ru/,ЦМТ ао,Обыкновенная
WTCMP,ЦМТ ап,"""Центр междун. торговли""ПАО - прив.",Unknown,Финансы,Девелопмент недвижимости,http://www.wtcmoscow.ru/,ЦМТ ап,Привилегированная
YAKG,ЯТЭК ао,Якутская топл.-энерг. комп. - обыкн.,Unknown,Коммунальные услуги,Газоснабжение,http://www.yatec.ru/,ЯТЭК ао,Обыкновенная
YKEN,Якутскэнрг,"АК ""Якутскэнерго"" (ПАО) - обыкн.",Unknown,Коммунальные услуги,Электроэнергетика,http://www.yakutskenergo.ru/,Якутскэнрг,Обыкновенная
YKENP,Якутскэн-п,"АК ""Якутскэнерго"" (ПАО) - прив.",Unknown,Коммунальные услуги,Электроэнергетика,http://www.yakutskenergo.ru/,Якутскэн-п,Привилегированная
YRSB,ТНСэнЯр,ТНС энерго Ярославль ПАО - обыкн.,Unknown,Коммунальные услуги,Электроэнергетика,Unknown,ТНСэнЯр,Обыкновенная
YRSBP,ТНСэнЯр-п,ТНС энерго Ярославль ПАО - прив.,Unknown,Коммунальные услуги,Электроэнергетика,Unknown,ТНСэнЯр-п,Привилегированная
ZAYM,Займер ао,Займер - обыкн.,Unknown,Финансы,Микрофинансирование,Unknown,Займер ао,Обыкновенная
ZVEZ,ЗВЕЗДА ао,ЗВЕЗДА ПАО - обыкн.,Unknown,Промышленное производство,Промышленное оборудование,http://www.zvezda.spb.ru/,ЗВЕЗДА ао,Обыкновенная
ASTR,Астра ао,Группа Астра - обыкн.,Unknown,Технологии,Программное обеспечение,Unknown,Астра ао,Обыкновенная
BANE,Башнефт ао,Башнефть АНК - обыкн.,"ПАО АНК Башнефть, ранее известное как ОАО АНК Башнефть, — это расположенная в России компания, которая работает в индустрии нефти и газа. Основная деятельность компании включает в себя добычу, разведку и производство нефти и нефтепродуктов. У компании есть несколько подразделений и дочерних компаний, включая сеть заправочных станций. В дополнение к этому, компания разрабатывает несколько нефтяных месторождений, таких как Янгарейское и Сабриягинское в Ненецком АО. ОАО АНК Башнефть продает свою продукцию на внутреннем и внешнем рынках. В июле 2013 года, Компания завершила слияние своих нефтехимических активов с Объединенной нефтехимической компанией (United Petrochemical Company, UPC). В декабре 2013 была приобретена ООО Башнефть Нефтегазразведка. В феврале 2014 компания получила 100% капитала Bashneft Trading AG. В марте 2014 было приобретено ООО Башнефтегаз. В августе 2014 компания приобрела сеть заправочных станций ОПТАН.",Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.bashneft.ru/,Башнефт ао,Обыкновенная
BELU,НоваБев ао,НоваБев Групп ПАО - обыкн.,Unknown,Потребительские товары недлительного пользования,Напитки: алкогольные,http://novabev.com/,НоваБев ао,Обыкновенная
CHMF,СевСт-ао,Северсталь (ПАО)ао,"ПАО Северсталь, которая раньше называлось ОАО Северсталь, — это расположенная в России компания, работающая в сталелитейной индустрии. У компании есть три подразделения: ресурсы, российская сталь и международные ресурсы. Подразделение ресурсов фокусируется на производстве железной руды и коксующегося угля; подразделение российской стали специализируется на листовом, длинном и трубопрокате для разных целей; международное подразделение — это стальной актив компании в США. Компания активна как в РФ, так и за рубежом и ведет свою деятельность через большое количество филиалов, дочерних и зависимых компаний.",Несырьевые полезные ископаемые,Сталь,http://www.severstal.com/,СевСт-ао,Обыкновенная
CNRU,ЦИАН,Unknown,Unknown,Услуги,Онлайн-платформы недвижимости,Unknown,ЦИАН,Обыкновенная
DATA,iАренадата,Unknown,Unknown,Технологии,Обработка данных,Unknown,iАренадата,Обыкновенная
DIAS,iДиасофт,Диасофт - обыкн.,Unknown,Технологии,Программное обеспечение для финансов,Unknown,iДиасофт,Обыкновенная
IVAT,iИВА,ПАО ИВА - обыкн.,Unknown,Технологии,Программное обеспечение,Unknown,iИВА,Обыкновенная
LEAS,Европлан,ПАО «ЛК «Европлан»,Unknown,Финансы,Лизинг автомобилей,Unknown,Европлан,Обыкновенная
LKOH,ЛУКОЙЛ,ЛУКОЙЛ,"ПАО «ЛУКОЙЛ» занимается исследованием, добычей, переработкой и сбытом нефти. Компания осуществляет свою деятельность посредством следующих сегментов: Исследование и добыча, Переработка, сбыт и маркетинг, Корпоративный и прочее. Сегмент исследования и добычи занимается исследованием, добычей и переработкой нефти и газа. Сегмент переработки, сбыта и маркетинга включает в себя процесс переработки нефти в нефтепродукты, а также их закупку, продажу и транспортировку. Помимо этого, данное подразделение занимается продажей химических продуктов, выработкой электроэнергии и пара, их сбытом и оказанием сопутствующих услуг. В сегмент корпоративный и прочее входит деятельность компании и предприятий, выходящая за рамки традиционных операций группы. Компания была основана 25 ноября 1991 года. Штаб-квартира расположена в Москве, Россия.",Энергетические и минеральные ресурсы,Переработка и продажа нефти,http://www.lukoil.com/,ЛУКОЙЛ,Обыкновенная
LMBZ,Ламбумиз,Unknown,Unknown,Обрабатывающая промышленность,Тара и упаковочные материалы,Unknown,Ламбумиз,Обыкновенная
MBNK,МТС Банк,МТС-Банк - обыкн.,Unknown,Финансы,Региональные банки,http://www.mtsbank.ru/,МТС Банк,Обыкновенная
MGNT,Магнит ао,"""Магнит"" ПАО - обыкн.","ПАО «Магнит» — холдинговая компания, занимающаяся розничной торговлей и реализацией потребительских товаров. Компания осуществляет продажи через магазины шаговой доступности, гипермаркеты, магазины косметики и т. д. Компания была основана в 1994 году Сергеем Николаевичем Галицким. Штаб-квартира находится в Краснодаре, Россия.",Розничная торговля,Продуктовая розница,http://www.magnit.com/en/,Магнит ао,Обыкновенная
MTLR,Мечел ао,Мечел ПАО - обыкн.,Unknown,Несырьевые полезные ископаемые,Сталь,http://www.mechel.ru/,Мечел ао,Обыкновенная
MVID,М.видео,"""М.видео"" ПАО - обыкн.","ПАО «М.Видео» управляет сетью розничных магазинов электронной техники. Компания занимается продажей телевизоров, аудио- и видеотехники, бытовых электроприборов, цифрового оборудования, медиа-устройств и развлекательных товаров. Компания была основана в 1993 году Александром Анатольевичем Тынкованом и Павлом Юрьевичем Бреевым. Штаб-квартира расположена в Москве, Россия.",Розничная торговля,Оптовая торговля,http://www.mvideo.ru/,М.видео,Обыкновенная
NVTK,Новатэк ао,"ПАО ""НОВАТЭК"" - обыкн.","ПАО «НОВАТЭК» занимается исследованием, добычей, переработкой и сбытом природного газа и жидких углеводородов. Компания осуществляет свою деятельность через следующие географические сегменты: Россия, Европа, Азиатско-Тихоокеанский регион, Северная Америка, Ближний Восток и Прочие. Российский сегмент занимается изучением, добычей и переработкой углеводородов, а также реализацией природного газа, стабильного газового конденсата и прочих продуктов переработки газа и газового конденсата, сжиженного нефтяного газа и сырой нефти. Европейский сегмент осуществляет продажу природного газа, нафты, стабильного газового конденсата, продуктов переработки газового конденсата, сжиженного нефтяного газа и сырой нефти, а также геологоразведочными работами в рамках совместных операций. Азиатско-Тихоокеанский сегмент занимается реализацией нафты и продуктов переработки стабильного газового конденсата и сырой нефти. Североамериканский сегмент включает в себя операции по продаже нафты, продуктов переработки стабильного газового конденсата и сырой нефти. Сегмент Ближнего Востока занимается сбытом природного газа, нафты, сырой нефти, а также проведением геологоразведочных работ в рамках совместных операций. Компания была основана Леонидом Викторовичем Михельсоном 16 августа 1994 года. Штаб-квартира расположена в Москве, Россия.",Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.novatek.ru/,Новатэк ао,Обыкновенная
OZON,OZON-адр,АДР Ozon Holdings PLC ORD SHS,Unknown,Розничная торговля,Розничные интернет-магазины,http://corp.ozon.com/,OZON-адр,Обыкновенная
PHOR,ФосАгро ао,ФосАгро ПАО - обыкн.,Unknown,Обрабатывающая промышленность,Химическая промышленность: сельскохозяйственные химикаты,http://www.phosagro.ru/,ФосАгро ао,Обыкновенная
PIKK,ПИК ао,ПИК СЗ (ПАО) - обыкн.,"Группа Компаний ПИК ПАО (ОАО «Группа ПИК») — российская компания, основная специализация которой сосредоточена вокруг строительства жилья. Её деятельность включает в себя строительство и развитие проектов жилой недвижимости и продажу готовых объектов, включая обслуживание и ремонт жилой недвижимости, застроенной самой компанией и другими застройщиками; производство и сборка бетонных панельных корпусов в Москве и Московской области, а также производство и продажа строительных материалов. Она работает через многочисленные дочерние компании и несколько компаний-партнёров, расположенных в том числе в Москве и Московской области, Ростове, Кирове, Калуге, Туле, Нижнем Новгороде, Калининграде, а также на Кипре.",Потребительские товары длительного пользования,Строительство жилья,http://www.pik-group.com/,ПИК ао,Обыкновенная
PLZL,Полюс,Полюс ПАО - обыкн.,Unknown,Несырьевые полезные ископаемые,Драгоценные металлы,http://polyus.com/,Полюс,Обыкновенная
POSI,iПозитив,Группа Позитив - обыкн.,Unknown,Финансы,Финансовые конгломераты,http://group.ptsecurity.com/ru,iПозитив,Обыкновенная
PRMD,ПРОМОМЕД,ПРОМОМЕД,Unknown,Здравоохранение,Фармацевтика,Unknown,ПРОМОМЕД,Обыкновенная
RAGR,Русагро,Unknown,Unknown,Потребительские товары недлительного пользования,Агропромышленность,Unknown,Русагро,Обыкновенная
RNFT,РуссНфт ао,РуссНефть НК ПАО - обыкн.,Unknown,Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.russneft.ru/,РуссНфт ао,Обыкновенная
ROSN,Роснефть,ПАО НК Роснефть,"ПАО НК «Роснефть» занимается исследованием, освоением, добычей и продажей нефти и газа. Помимо этого, компания осуществляет мероприятия по переработке, транспортировке и продаже нефтепродуктов. Роснефть реализует свою деятельность через следующие бизнес-сегменты: Исследование и добыча, Переработка и сбыт, а также Корпоративный и прочее. Сегмент исследования и добычи занимается поиском и разведкой месторождений нефти и газа и их добычей. Сбыто-перерабатывающий сегмент осуществляет переработку нефти и других углеводородов в нефтепродукты, а также проводит операции по их покупке, продаже и транспортировке. Компания была основана в 1993 году. Штаб-квартира расположена в Москве, Россия.",Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.rosneft.ru/,Роснефть,Обыкновенная
SFIN,ЭсЭфАй ао,ЭсЭфАй ПАО - обыкн.,Unknown,Финансы,"Финансирование, лизинг, аренда",http://www.safmarinvest.ru/,ЭсЭфАй ао,Обыкновенная
SIBN,Газпрнефть,Газпром нефть ПАО - обыкн.,"Газпром нефть ПАО — вертикально интегрированная нефтяная компания, работающая в Российской Федерации, Содружестве Независимых Государств (СНГ) и на международном уровне. Основные виды деятельности компании включают разведку, добычу и разработку нефти и газа, производство очищенных нефтепродуктов, а также дистрибуцию и сбыт через свои торговые точки. Компания управляет своей деятельностью в двух сегментах: ""добывающий"" и ""перерабатывающий"". Добывающий сегмент (разведка и добыча) включает разведку, разработку и добычу сырой нефти и природного газа (включая результаты совместных предприятий), а также услуги в области добычи нефти. Сегмент «перерабатывающий» (переработка и сбыт) включает переработку нефти в продукты нефтепереработки и закупает, продает и транспортирует сырые и нефтепродукты. Компания поставляет товары и услуги для водителей автомобилей и целого ряда предприятий. Более того, она предлагает моторные масла «Газпром нефть» и премиальные масла G-Energy для использования в легковых автомобилях.",Энергетические и минеральные ресурсы,Переработка и продажа нефти,http://www.gazprom-neft.com/,Газпрнефть,Обыкновенная
SMLT,Самолет ао,ГК Самолет - обыкн.,Unknown,Финансы,Девелопмент недвижимости,http://www.samoletgroup.ru/,Самолет ао,Обыкновенная
SPBE,СПБ Биржа,СПБ Биржа - обыкн.,Unknown,Финансы,"Инвестиционные банки, брокеры",http://www.spbexchange.ru/,СПБ Биржа,Обыкновенная
T,Т-Техно ао,Т-Технологии МКПАО - обыкн.,"AT&T Inc — это холдинговая компания, предоставляющая услуги связи и цифровых развлечений на территории США и во всем мире. Компания работает в четырех направлениях: бизнес решения, развлечения, мобильные технологии и международный сегмент. Компания предлагает свои услуги и продукты потребителям в Соединенных Штатах, Мексике и Латинской Америке, а также компаниям и другим поставщикам телекоммуникационных услуг по всему миру. Она также владеет и управляет тремя региональными спортивными телевизионными сетями и сохраняет неконтролирующие доли в другой региональной спортивной сети, а также сети, посвященной программам, связанным с играми и интерактивным играми в Интернете. Их услуги и продукты включают в себя беспроводную связь, сервис передачи данных/широкополосного доступа и Интернет услуги, а также услуги цифрового видео, местной и междугородной телефонной связи, телекоммуникационное оборудование, управляемые сети и оптовые услуги. Дочерние компании включают AT&T Mobility и SKY Brasil Servicos Ltda.",Финансы,Региональные банки,http://www.tcsgh.com.cy/,Т-Техно ао,Обыкновенная
TATN,Татнфт 3ао,"ПАО ""Татнефть"" - обыкн.","ПАО «Татнефть» является недропользователем, оператором и поставщиком нефтегазовых ресурсов, а также производителем нефтехимической продукции. Компания работает в трех сегментах: разведка и добыча; нефтепереработка и сбыт, а также нефтехимическая продукция. Сегмент разведки и добычи состоит из разведки, разработки, добычи и продажи собственной нефти. Сегмент переработки и сбыта состоит из закупок и продаж сырой нефти и продуктов нефтепереработки у третьих сторон, собственных операций по переработке и розничных операций. Сегмент нефтехимической продукции отвечает за производство и реализацию шин, а также нефтехимического сырья и продуктов его переработки, которые используются для производства шин. Компания и ее дочерние предприятия занимаются разведкой, разработкой и добычей сырой нефти преимущественно в Республике Татарстан. Компания также занимается переработкой и сбытом сырой нефти и продуктов её переработки, как и производством и реализацией продуктов нефтехимии.",Энергетические и минеральные ресурсы,Переработка и продажа нефти,http://www.tatneft.ru/,Татнфт 3ао,Обыкновенная
TATNP,Татнфт 3ап,"ПАО ""Татнефть"" - прив.",Unknown,Энергетические и минеральные ресурсы,Переработка и продажа нефти,http://www.tatneft.ru/,Татнфт 3ап,Привилегированная
TRNFP,Транснф ап,Транснефть ПАО акц.пр.,"ПАО «Транснефть», также известная как ОАО «АК Транснефть» (ОАО «Акционерная компания по транспорту нефти Транснефть» или ОАО «Транснефть»), — это российская компания, занимающаяся нефтегазотранспортной промышленностью. Она эксплуатирует около 70 000 километров трубопроводов и более 500 насосных станций. В компании действуют такие системы транспортировки нефти, как, например, Балтийская трубопроводная система, Балтийская трубопроводная система-2, нефтепровод «Восточная Сибирь-Тихий океан» и трубопроводная система Пурпе-Самотлор. ОАО «Транснефть» предлагает свои услуги как на внутреннем, так и на внешнем рынках, включая Польшу, Венгрию, Словакию, Латвию, Китай, Узбекистан, Беларусь и другие. Компания также имеет многочисленные дочерние компании, расположенные внутри страны.",Производственно-технические услуги,Нефте- и газопроводы,http://en.transneft.ru/,Транснф ап,Привилегированная
VKCO,"МКПАО ""ВК""",Международная компания ПАО ВК,Unknown,Технологии,Интернет-сервисы и ПО,http://vk.company/,"МКПАО ""ВК""",Обыкновенная
VSEH,ВИ.ру,ВИ.ру,Unknown,Розничная торговля,Онлайн-ретейл инструментов,Unknown,ВИ.ру,Обыкновенная
VTBR,ВТБ ао,ПАО Банк ВТБ - обыкн.,"ПАО «Банк ВТБ» — финансовое учреждение, предоставляющее целый спектр банковских услуг и продуктов. Компания осуществляет свою деятельность посредством следующих сегментов: Корпоративно-инвестиционный банкинг, Услуги для среднего бизнеса, Розничный банкинг, Казначейские услуги и Прочие услуги. Сегмент корпоративно-инвестиционного банкинга предлагает услуги для крупных предприятий, в то время как сегмент услуг для среднего бизнеса обслуживает субъекты среднего предпринимательства. Сегмент розничного банкинга предлагает сервисы физическим лицам и представителям малого бизнеса, а также все виды страховых услуг. Компания была основана 17 октября 1990 года. Штаб-квартира расположена в Санкт-Петербурге, Россия.",Финансы,Основные банки,http://www.vtb.ru/,ВТБ ао,Обыкновенная
WUSH,iВУШХолднг,ВУШ Холдинг - обыкн.,Unknown,Транспорт,Логистика и доставка,Unknown,iВУШХолднг,Обыкновенная
X5,КЦ ИКС 5,Unknown,Unknown,Розничная торговля,Продуктовая розница,Unknown,КЦ ИКС 5,Обыкновенная
