ticker,official_name,name,description,sector,industry,website
TNSE,ТНСэнрг ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.tns-s.ru/
UKUZ,ЮжКузб. ао,Unknown,Unknown,Энергетические и минеральные ресурсы,Уголь,http://www.ukuzbass.ru/
UNKL,ЮУНК ао,Unknown,Unknown,Несырьевые полезные ископаемые,Прочие металлы и минералы,http://www.unickel.ru/
URKZ,УрКузница,Unknown,Unknown,Несырьевые полезные ископаемые,Сталь,http://www.uralkuz.ru/
UWGN,ОВК ао,Unknown,Unknown,Промышленное производство,"Грузовые автомобили, строительная и сельскохозяйственная техника",http://www.uniwagon.com/en
VJGZ,Варьеган,Unknown,Unknown,Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.varyeganneftegaz.ru/
VJGZP,Варьеган-п,Unknown,Unknown,Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.varyeganneftegaz.ru/
VSMO,ВСМПО-АВСМ,Unknown,Unknown,Несырьевые полезные ископаемые,Прочие металлы и минералы,http://www.vsmpo.ru/
VSYD,ВыбСудЗ ао,Unknown,Unknown,Промышленное производство,"Грузовые автомобили, строительная и сельскохозяйственная техника",http://www.vyborgshipyard.ru/
VSYDP,ВыбСудЗ ап,Unknown,Unknown,Промышленное производство,"Грузовые автомобили, строительная и сельскохозяйственная техника",http://www.vyborgshipyard.ru/
ZILL,ЗИЛ ао,Unknown,Unknown,Потребительские товары длительного пользования,Автомобильная промышленность,http://www.amo-zil.ru/
