ticker,official_name,name,description,sector,industry,website
KRSB,Красэсб ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.krsk-sbit.ru/
KRSBP,Красэсб ап,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.krsk-sbit.ru/
KUZB,КузнецкийБ,Unknown,Unknown,Финансы,Региональные банки,http://www.kuzbank.ru/
KZOS,ОргСинт ао,Unknown,Unknown,Промышленное производство,Прочие виды производства,http://www.kazanorgsintez.ru/
KZOSP,ОргСинт ап,Unknown,Unknown,Промышленное производство,Прочие виды производства,http://www.kazanorgsintez.ru/
LIFE,Фармсинтез,Unknown,Unknown,Медицинские технологии,Фармацевтические товары,http://www.pharmsynthez.com/
LPSB,ЛЭСК ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.lesk.ru/
LSNG,РСетиЛЭ,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.lenenergo.ru/
LSNGP,РСетиЛЭ-п,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.lenenergo.ru/
LVHK,Левенгук,Unknown,Unknown,Электронные технологии,Электронные комплектующие,http://www.levenhuk.ru/
MAGE,МагадЭн ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,Unknown
MAGEP,МагадЭн ап,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,Unknown
MAGN,ММК,Unknown,Unknown,Несырьевые полезные ископаемые,Сталь,http://www.mmk.ru/
MFGS,Мегион-ао,Unknown,Unknown,Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.sn-mng.ru/
MFGSP,Мегион-ап,Unknown,Unknown,Энергетические и минеральные ресурсы,Интегрированная нефтяная промышленность,http://www.sn-mng.ru/
MGKL,МГКЛ,Unknown,Unknown,Unknown,Unknown,Unknown
MISB,ТНСэнМарЭл,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mari-el.tns-e.ru/
MISBP,ТНСэМаЭл-п,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mari-el.tns-e.ru/
MOEX,МосБиржа,Unknown,Unknown,Финансы,"Инвестиционные банки, брокеры",http://www.moex.com/
MRKC,РоссЦентр,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-1.ru/
MRKK,Россети СК,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-sk.ru/
MRKP,РСетиЦП ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-cp.ru/
MRKS,РсетСиб ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-sib.ru/
MRKU,Россети Ур,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-ural.ru/
MRKV,РсетВол ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsk-volgi.ru/
MRKY,РоссЮг ао,,,,,
MRKZ,РСетиСЗ ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mrsksevzap.ru/
MRSB,МордЭнСб,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mesk.ru/
MSNG,+МосЭнерго,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.mosenergo.ru/
MSRS,РСетиМР ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.rossetimr.ru/
MSTT,Мостотрест,Unknown,Unknown,Производственно-технические услуги,Инженерные и строительные услуги,http://www.mostotrest.ru/
MTLRP,Мечел ап,Unknown,Unknown,Несырьевые полезные ископаемые,Сталь,http://www.mechel.ru/
MTSS,МТС-ао,Unknown,Unknown,Связь,Беспроводные телекоммуникации,http://www.mts.ru/
NAUK,iНПОНаука,Unknown,Unknown,Электронные технологии,Авиакосмическая и оборонная промышленность,http://www.npo-nauka.ru/
NFAZ,НЕФАЗ,Unknown,Unknown,Потребительские товары длительного пользования,Автомобильная промышленность,http://www.nefaz.ru/
NKHP,НКХП ао,Unknown,Unknown,Транспорт,Прочие виды транспорта,http://www.novoroskhp.ru/
NKNC,НКНХ ао,Unknown,Unknown,Обрабатывающая промышленность,Химическая промышленность: специализированные химикаты,http://www.nknh.ru/
NKNCP,НКНХ ап,Unknown,Unknown,Обрабатывающая промышленность,Химическая промышленность: специализированные химикаты,http://www.nknh.ru/
NKSH,Нижкамшина,Unknown,Unknown,Промышленное производство,Производство оригинальных автомобильных запчастей,http://www.shinakama.tatneft.ru/
NLMK,НЛМК ао,Unknown,Unknown,Несырьевые полезные ископаемые,Сталь,http://nlmk.com/
NMTP,НМТП ао,Unknown,Unknown,Транспорт,Прочие виды транспорта,http://www.nmtp.info/
NSVZ,iНаукаСвяз,Unknown,Unknown,Связь,Специализированные телекоммуникации,http://www.naukanet.ru/
OGKB,ОГК-2 ао,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.ogk2.ru/
OKEY,OKEY-гдр,Unknown,Unknown,Розничная торговля,Продуктовая розница,http://www.okmarket.ru/
OZPH,iОзонФарм,Unknown,Unknown,Unknown,Unknown,Unknown
PMSB,ПермьЭнСб,Unknown,Unknown,Коммунальные услуги,Электроэнергетика,http://www.energos.perm.ru/
